proxy,type,working,latency,country,region,city,continent,lat,lon
70.166.167.55:57745,socks5,true,2640.00,US,Arizona,Phoenix,North America,33.491700,-111.983700
174.64.199.82:4145,socks5,true,2642.00,US,Louisiana,,North America,29.981300,-90.166300
103.148.112.69:8199,socks5,true,2936.00,ID,,,Asia,-6.175000,106.828600
51.75.126.150:8177,socks5,true,2974.00,FR,,,Europe,48.858200,2.338700
163.53.204.178:9813,socks5,true,2972.00,IN,,,Asia,21.997400,79.001100
212.47.253.24:16379,socks5,true,3068.00,FR,,,Europe,48.858200,2.338700
159.138.157.44:8081,socks5,true,3131.00,HK,,Hong Kong,Asia,22.284200,114.175900
13.221.134.55:3128,socks5,true,3258.00,US,Virginia,Ashburn,North America,39.046900,-77.490300
14.225.194.159:1080,socks5,true,3263.00,VN,Hanoi,Hanoi,Asia,21.018400,105.846100
163.172.153.82:16379,socks5,true,3952.00,FR,,,Europe,48.858200,2.338700
187.63.9.62:63253,socks5,true,3958.00,BR,Rio de Janeiro,Arraial do Cabo,South America,-22.952600,-42.058300
139.59.24.173:1080,socks5,true,4210.00,IN,Karnataka,Bengaluru,Asia,12.975300,77.591000
222.59.173.105:44020,socks5,true,4432.00,CN,,,Asia,34.773200,113.722000
184.178.172.28:15294,socks5,true,4704.00,US,Virginia,Roanoke,North America,37.268100,-79.940400
67.201.59.70:4145,socks5,true,4729.00,US,,,North America,37.751000,-97.822000
207.244.254.27:7000,socks5,true,4854.00,US,Missouri,St Louis,North America,38.636400,-90.198500
161.97.129.202:9060,socks5,true,4959.00,DE,North Rhine-Westphalia,Düsseldorf,Europe,51.186400,6.862400
51.75.126.150:3307,socks5,true,5028.00,FR,,,Europe,48.858200,2.338700
64.226.85.75:1080,socks5,true,5037.00,DE,Hesse,Frankfurt am Main,Europe,50.116900,8.683700
103.165.93.140:1080,socks5,true,5135.00,BD,,,Asia,23.701800,90.374200
223.25.109.170:8199,socks5,true,5342.00,ID,,,Asia,-6.175000,106.828600
51.75.126.150:22196,socks5,true,5386.00,FR,,,Europe,48.858200,2.338700
185.175.47.162:1080,socks5,true,5408.00,RU,Moscow,Moscow,Europe,55.748700,37.618700
51.75.126.150:12202,socks5,true,5520.00,FR,,,Europe,48.858200,2.338700
187.188.169.169:59329,socks5,true,5695.00,MX,Puebla,Acatzingo,North America,18.970200,-97.801700
72.195.114.184:4145,socks5,true,5704.00,US,,,North America,37.751000,-97.822000
51.75.126.150:15816,socks5,true,5883.00,FR,,,Europe,48.858200,2.338700
8.217.131.69:8888,socks5,true,6430.00,HK,,Hong Kong,Asia,22.284200,114.175900
51.75.126.150:6424,socks5,true,6671.00,FR,,,Europe,48.858200,2.338700
51.210.156.30:51771,socks5,true,7067.00,FR,,,Europe,48.858200,2.338700
212.47.250.36:16379,socks5,true,7368.00,FR,,,Europe,48.858200,2.338700
31.129.147.102:1080,socks5,true,7560.00,RU,Tver Oblast,Tver,Europe,56.864900,35.894200
8.217.205.168:8888,socks5,true,7664.00,HK,,Hong Kong,Asia,22.284200,114.175900
72.37.216.68:4145,socks5,true,7768.00,US,,,North America,37.751000,-97.822000
51.15.139.14:16379,socks5,true,8400.00,FR,,,Europe,48.858200,2.338700
163.172.187.22:16379,socks5,true,8571.00,FR,,,Europe,48.858200,2.338700
51.75.126.150:2184,socks5,true,8593.00,FR,,,Europe,48.858200,2.338700
198.199.86.11:1080,socks5,true,13595.00,US,New Jersey,North Bergen,North America,40.796400,-74.020300
149.28.32.205:25936,socks5,true,14179.00,US,New Jersey,Piscataway,North America,40.551100,-74.460600
51.75.126.150:9676,socks5,true,14820.00,FR,,,Europe,48.858200,2.338700
47.237.16.167:8888,socks5,true,15438.00,SG,,,Asia,1.366700,103.800000
8.213.129.15:1234,socks5,true,16281.00,KR,Seoul,Seoul,Asia,37.565800,126.978000
8.213.129.15:5000,socks5,true,16281.00,KR,Seoul,Seoul,Asia,37.565800,126.978000
8.213.129.15:12000,socks5,true,16270.00,KR,Seoul,Seoul,Asia,37.565800,126.978000
8.213.129.15:8080,socks5,true,16279.00,KR,Seoul,Seoul,Asia,37.565800,126.978000
103.189.218.85:6969,socks5,true,20376.00,BD,,,Asia,23.701800,90.374200
193.122.123.43:28080,socks5,true,24628.00,KR,Seoul,Seoul,Asia,37.539200,126.860500
8.213.197.208:808,socks5,true,26301.00,TH,Bangkok,Bangkok,Asia,13.749900,100.517000
8.213.197.208:45,socks5,true,26311.00,TH,Bangkok,Bangkok,Asia,13.749900,100.517000
8.213.197.208:31433,socks5,true,26334.00,TH,Bangkok,Bangkok,Asia,13.749900,100.517000
15.204.101.82:1080,socks5,true,27486.00,US,Oregon,Hillsboro,North America,45.539700,-122.963800
